,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type
Fig 3: Collectible,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/3,,ERC-1155,,,Arweave,,,Arweave
Fig 4: Generative,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/4,,ERC-1155,,,Arweave,,,Arweave
CopyCat,Edition,50,3/12/24,Foundation,,SuperChief,https://opensea.io/collection/copycatbybrinkman,0x2d0514d64621d3850b6397200b02f14aeabc6d19,ERC-721,,,Arweave,,,Arweave
Right Click Savior,Edition,100,4/25/24,ClickCreate,,,https://opensea.io/assets/ethereum/0x300e7a5fb0ab08af367d5fb3915930791bb08c2b/60,0x300e7a5fb0ab08af367d5fb3915930791bb08c2b,ERC-1155,60,60,Arweave,,,Arweave
Battery Life,Edition,100,5/2/24,Transient Labs,,Digital Dreams KC,https://opensea.io/assets/base/0x658e4dad7e206f662692bf913db33cf7a213565e/1,,ERC-1155,,,Arweave,,,Arweave
PreCycle,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave
PreTonomy,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave
PreStrung,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave
Beginnings,Edition,50,7/1/24,Manifold,,452b,https://opensea.io/assets/ethereum/0xd3846a7d6c4110ab6ae26939225ff11b9c42e0cb/10,,ERC-1155,,,Arweave,,,Arweave
Ephemeral Embers,Edition,100,7/24/24,Iconic,,Rockwell,https://opensea.io/collection/ephemeralembers,,ERC-721,,,,,,
Climb,Unique,1,10/11/24,Christie's,,,https://opensea.io/item/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/10,,ERC-721,,,,,,
Bloom,Edition,100,11/10/24,LG Lab Art,,LG x NFT Now,https://opensea.io/collection/bloombrinkman,,ERC-1155,,,Hosted by Platform,,,
Pepe Toilets NYC,Series,3,1/6/25,VVD/Pepe,"#10, #11, #12",,https://opensea.io/collection/pepe-toilets-nyc-1,,ERC-721,,,,,,
FL1CK3R,Series,30,1/16/25,Osura,,OCM,https://magiceden.us/ordinals/marketplace/fl1ck3r,,ORDINALS,,,,,ONCHAIN,ONCHAIN
Barrel Of Monkeys,Edition,5,3/18/25,Apechain,,,https://opensea.io/collection/barrel-of-monkeys-by-bryan-brinkman,,ERC-721,,,,,,
Cadence,Unique,1,3/25/25,SuperRare,,Eddie Wharton,https://opensea.io/item/ethereum/0x8917811ac742ad95fc884d362babad2633bef811/1,,ERC-721,,,,,,
Cadence Mementos,Series,30,4/4/25,Transient Labs,,Eddie Wharton,https://opensea.io/collection/cadence-mementos,,ERC-721,,,,,,
